Marca de tiempo,Uso de memoria (%)
10:50:09,63.9
10:50:10,63.9
10:50:11,64.0
10:50:12,63.8
10:50:13,63.8
10:50:14,63.5
10:50:15,63.4
10:50:16,63.2
10:50:17,63.0
10:50:18,63.0
10:50:19,63.0
10:50:20,62.9
10:50:21,62.9
10:50:22,62.8
10:50:23,62.8
10:50:24,62.8
10:50:25,62.8
10:50:26,62.7
10:50:27,62.7
10:50:28,62.7
10:50:29,62.8
10:50:30,62.7
10:50:31,62.7
10:50:32,63.0
10:50:33,63.2
10:50:34,63.2
10:50:35,63.2
10:50:36,63.2
10:50:37,63.3
10:50:38,63.4
10:50:39,63.0
10:50:40,63.1
10:50:41,63.1
10:50:42,62.8
10:50:43,62.5
10:50:44,62.5
10:50:45,62.3
10:50:46,62.2
10:50:47,62.2
10:50:48,62.2
10:50:49,62.2
10:50:50,62.2
10:50:51,62.2
10:50:52,62.1
10:50:53,62.1
10:50:54,62.5
10:50:55,62.9
10:50:56,63.4
10:50:57,64.3
10:50:58,64.6
10:50:59,64.8
10:51:00,65.4
10:51:01,65.0
10:51:02,65.5
10:51:03,65.6
10:51:04,65.4
10:51:05,62.5
10:51:06,64.1
10:51:07,65.2
10:51:08,65.9
10:51:09,63.2
10:51:10,62.2
10:51:11,62.2
10:51:12,62.2
10:51:13,62.2
10:51:14,62.4
10:51:15,62.5
10:51:16,62.4
10:51:17,62.1
10:51:18,61.5
10:51:19,61.5
10:51:20,61.8
10:51:21,61.8
10:51:22,61.8
10:51:23,61.7
10:51:24,61.8
10:51:25,62.4
10:51:26,62.4
10:51:27,62.4
10:51:28,62.4
10:51:29,62.4
10:51:30,62.3
10:51:31,62.4
10:51:32,62.3
10:51:33,62.3
10:51:34,62.2
10:51:35,62.1
10:51:36,61.7
10:51:37,61.8
10:51:38,61.8
10:51:39,61.7
10:51:40,61.6
10:51:41,61.6
10:51:42,61.7
10:51:43,62.0
10:51:44,62.1
10:51:45,62.1
10:51:46,62.0
10:51:47,61.6
10:51:48,61.5
10:51:49,61.6
10:51:50,61.6
10:51:51,61.6
10:51:52,61.7
10:51:53,62.0
10:51:54,61.6
10:51:55,61.4
10:51:56,61.4
10:51:57,62.1
10:51:58,62.1
10:51:59,62.0
10:52:00,62.0
10:52:01,62.0
10:52:02,62.0
10:52:03,62.0
10:52:04,61.8
10:52:05,61.8
10:52:06,61.8
10:52:07,61.7
10:52:08,61.7
10:52:09,61.7
10:52:10,61.7
10:52:11,61.7
10:52:12,61.6
10:52:13,61.6
10:52:14,61.6
10:52:15,61.6
10:52:16,61.6
10:52:17,61.6
10:52:18,61.7
10:52:19,61.7
10:52:20,61.7
10:52:21,63.6
10:52:22,63.9
10:52:23,64.1
10:52:24,64.2
10:52:25,64.2
10:52:26,64.0
10:52:27,64.0
10:52:28,64.0
10:52:29,64.0
10:52:30,63.9
10:52:31,64.0
10:52:32,64.0
10:52:33,63.9
10:52:34,63.9
10:52:35,64.0
10:52:36,64.5
10:52:37,65.4
10:52:38,64.8
10:52:39,64.4
10:52:40,64.4
10:52:41,64.4
10:52:42,64.3
10:52:43,64.0
10:52:44,63.2
10:52:45,62.5
10:52:46,61.3
10:52:47,61.1
10:52:48,60.9
10:52:49,60.8
10:52:50,60.4
10:52:51,60.0
10:52:52,60.0
10:52:53,60.1
10:52:54,60.0
10:52:55,60.0
10:52:56,60.0
10:52:57,60.3
10:52:58,60.4
10:52:59,60.4
10:53:00,60.4
10:53:01,60.4
10:53:02,60.3
10:53:03,60.3
10:53:04,60.3
10:53:05,60.4
10:53:06,60.3
10:53:07,60.2
10:53:08,60.2
10:53:09,60.2
10:53:10,60.2
10:53:11,60.1
10:53:12,60.2
10:53:13,60.1
10:53:14,60.1
10:53:15,60.1
10:53:16,60.1
10:53:17,60.1
10:53:18,60.1
10:53:19,60.1
10:53:20,60.1
10:53:21,60.0
10:53:22,60.0
10:53:23,60.0
10:53:24,60.0
10:53:25,60.0
10:53:26,60.0
10:53:27,59.8
10:53:28,59.8
10:53:29,59.8
10:53:30,59.7
10:53:31,59.7
10:53:32,59.7
10:53:33,59.7
10:53:34,59.8
10:53:35,59.7
10:53:36,59.7
10:53:37,59.7
10:53:38,59.6
10:53:39,59.6
10:53:40,59.6
10:53:41,59.6
10:53:42,59.6
10:53:43,59.5
10:53:44,59.6
10:53:45,59.5
10:53:46,59.6
10:53:47,59.6
10:53:48,59.6
10:53:49,59.6
10:53:50,59.6
10:53:51,59.6
10:53:52,59.6
10:53:53,59.6
10:53:54,59.7
10:53:55,59.6
10:53:56,59.7
10:53:57,59.9
10:53:58,59.5
10:53:59,59.5
10:54:00,59.5
10:54:01,59.5
10:54:02,59.4
10:54:03,59.4
10:54:04,59.5
10:54:05,59.5
10:54:06,60.1
10:54:07,60.6
10:54:08,61.2
10:54:09,61.7
10:54:10,62.1
10:54:11,62.3
10:54:12,62.9
10:54:13,63.2
10:54:14,63.3
10:54:15,63.1
10:54:16,59.9
10:54:17,61.6
10:54:18,62.7
10:54:19,62.9
10:54:20,60.6
10:54:21,59.7
10:54:22,59.7
10:54:23,59.8
10:54:24,59.7
10:54:25,59.7
10:54:26,59.7
10:54:27,59.7
10:54:28,59.7
10:54:29,59.7
10:54:30,59.6
10:54:32,59.6
10:54:33,59.6
10:54:34,59.6
10:54:35,59.6
10:54:36,59.6
10:54:37,59.6
10:54:38,59.6
10:54:39,59.6
10:54:40,59.6
10:54:41,59.6
10:54:42,59.6
10:54:43,59.6
10:54:44,59.6
10:54:45,59.5
10:54:46,59.6
10:54:47,59.7
10:54:48,59.7
10:54:49,59.6
10:54:50,59.6
10:54:51,59.7
10:54:52,59.7
10:54:53,59.7
10:54:54,59.7
10:54:55,59.7
10:54:56,59.7
10:54:57,59.6
10:54:58,59.8
10:54:59,59.7
10:55:00,59.7
10:55:01,59.7
10:55:02,59.7
10:55:03,59.7
10:55:04,59.7
10:55:05,59.6
10:55:06,59.6
10:55:07,59.8
10:55:08,59.8
10:55:09,59.8
